School Year,"Totals, Female: Asian (Tot. F)","Totals, Female: Black/African American (Tot. F)","Totals, Female: Hispanics of any race (Tot. F)","Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)","Totals, Female: Two or more races (Tot. F)","Totals, Female: White (Tot. F)","Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: Two or more races (Tot. M)","Totals, Male: White (Tot. M)"
2009-2010,28,2,3,0,3,19,48,8,4,0,0,18,107
2010-2011,30,4,2,0,4,22,55,12,11,0,0,12,89
2004-2005,3,0,1,0,9,14,15,0,5,2,0,50,246
2005-2006,2,0,1,0,3,14,16,1,7,2,0,34,212
2006-2007,3,0,0,0,6,9,17,1,8,1,0,39,243
2004-2005,10,4,0,0,0,9,43,9,3,0,0,0,94
2005-2006,9,1,2,0,0,14,40,6,4,0,0,0,80
2006-2007,9,1,3,0,0,15,26,6,3,0,0,0,90
2010-2011,17,7,1,0,3,23,55,19,6,1,0,21,171
2012-2013,29,5,19,0,0,25,146,10,100,3,2,0,282
2011-2012,19,2,8,0,0,27,130,11,69,4,1,0,232
2010-2011,20,2,6,0,0,26,128,12,49,3,1,0,240
2009-2010,20,3,5,0,0,19,102,19,49,4,2,0,232
2008-2009,5,5,3,0,0,28,20,22,55,0,0,14,298
2009-2010,6,2,10,0,1,33,30,19,71,0,0,16,318
2010-2011,5,7,7,0,2,34,33,20,59,0,0,24,370
2011-2012,7,9,5,0,4,22,46,32,87,0,0,31,391
2012-2013,6,12,8,0,2,40,56,40,114,1,2,35,421
2013-2014,8,9,15,0,5,39,60,44,143,1,3,47,467
2010-2011,47,11,18,0,11,60,219,35,165,6,0,76,473
2011-2012,64,10,20,0,23,68,290,35,203,4,0,117,515
2012-2013,79,13,30,0,39,106,365,45,251,3,0,189,611
2013-2014,103,17,46,0,57,120,450,41,280,7,0,270,652
2014-2015,118,15,56,1,0,144,509,39,281,2,2,0,765
2011-2012,7,3,2,11,1,24,49,13,15,3,2,4,168
2012-2013,12,9,4,1,5,36,75,15,25,4,3,6,224
2013-2014,21,15,6,2,7,55,104,17,27,3,4,16,302
2011-2012,33,2,3,0,4,24,67,12,15,1,0,9,98
2012-2013,43,7,4,0,3,35,90,12,17,1,0,6,123
2013-2014,14,12,2,0,12,46,55,24,19,3,0,41,460
2013-2014,57,6,3,1,1,42,110,7,24,0,0,11,142
2014-2015,72,7,8,1,0,45,132,9,19,0,1,19,163
2013-2014,7,1,2,0,0,8,18,3,13,0,0,0,103
2013-2014,12,1,4,0,7,31,68,16,19,1,1,34,282
2013-2014,9,0,6,0,4,41,86,6,35,1,2,31,416
2012-2013,7,5,1,0,15,36,30,14,13,1,0,81,344
2013-2014,10,6,1,0,17,44,41,20,22,2,0,102,373
2014-2015,14,11,1,0,22,57,57,23,32,2,0,147,420
2014-2015,46,13,35,1,17,67,176,28,170,7,1,56,644
2011-2012,6,0,2,0,2,26,41,14,20,1,0,17,321
2012-2013,8,0,5,0,5,24,45,12,18,0,0,23,384
2013-2014,8,2,5,0,2,23,64,10,22,0,0,37,408
2014-2015,15,2,3,0,6,29,103,10,19,0,0,42,466
2013-2014,0,0,26,1,7,1,0,2,127,1,0,16,13
2014-2015,0,0,27,1,0,1,1,3,148,0,0,0,9
2013-2014,43,5,27,0,0,30,181,10,132,2,2,0,324
2011-2012,27,15,6,0,6,46,131,35,44,0,1,21,489
2014-2015,1,0,1,0,0,15,1,1,5,2,0,0,197
2010-2011,1,1,0,0,0,19,2,3,5,3,0,0,169
2011-2012,1,1,1,0,0,13,5,1,3,3,0,0,174
2010-2011,14,0,2,4,1,17,76,5,41,0,4,5,142
2011-2012,17,1,6,3,1,18,101,3,52,1,5,9,153
2010-2011,1,0,0,0,0,13,8,1,3,1,0,0,205
2011-2012,2,0,0,0,1,16,7,1,3,0,0,5,200
2009-2010,7,1,1,0,6,18,34,5,9,3,0,54,162
2010-2011,6,1,2,0,7,23,36,7,7,1,0,44,189
2011-2012,9,2,2,0,7,26,35,4,6,2,0,45,236
2012-2013,11,2,1,0,11,36,59,12,12,1,0,79,271
2013-2014,9,3,3,0,30,37,93,10,21,0,0,131,301
2014-2015,33,3,6,0,3,58,140,14,41,1,1,17,367
2009-2010,1,1,0,0,1,3,9,2,1,0,0,10,24
2010-2011,0,0,0,0,0,3,7,1,2,0,0,7,23
2011-2012,1,0,0,0,2,3,5,1,4,0,0,7,28
2012-2013,2,0,1,0,2,6,12,2,1,1,0,11,43
2013-2014,6,0,1,0,8,6,19,5,1,1,0,18,58
2014-2015,10,1,1,0,1,28,47,7,2,1,0,5,132
2014-2015,0,1,0,0,2,3,2,2,4,0,0,8,18
2013-2014,0,0,0,0,2,5,2,2,4,0,0,11,15
2012-2013,0,0,1,0,2,0,0,1,4,0,0,7,11
2011-2012,0,0,0,0,3,1,1,0,1,0,0,4,13
2010-2011,0,0,0,0,1,0,1,0,0,0,0,5,19
2009-2010,0,0,0,0,0,1,1,1,0,0,0,3,15
2014-2015,19,3,1,0,0,7,122,10,13,0,0,0,64
2013-2014,9,1,0,0,0,10,92,5,13,1,0,0,58
2012-2013,3,0,1,0,0,8,72,2,10,0,0,0,49
2011-2012,7,0,0,0,0,4,50,8,11,0,0,0,42
2010-2011,4,0,0,0,0,2,43,8,11,0,0,0,36
2014-2015,1,3,6,0,0,16,6,6,22,0,3,0,102
2013-2014,2,3,4,0,0,13,2,4,17,0,1,0,79
2012-2013,1,3,1,0,0,13,0,3,12,0,1,0,55
2011-2012,2,2,1,0,0,7,1,3,8,0,0,0,45
2010-2011,0,0,0,0,0,3,1,5,9,0,0,0,37
2014-2015,17,11,20,0,0,48,77,55,161,1,4,0,496
2010-2011,0,1,0,0,0,19,4,2,2,2,0,7,175
2011-2012,0,1,0,0,2,18,3,2,3,2,0,9,193
