"Totals, Female: Asian (Tot. F)","Totals, Female: Black/African American (Tot. F)","Totals, Female: Hispanics of any race (Tot. F)","Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)","Totals, Female: Two or more races (Tot. F)","Totals, Female: White (Tot. F)","Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: Two or more races (Tot. M)","Totals, Male: White (Tot. M)"
24,5,14,0,11,24,97,9,44,1,0,11,80
4,3,24,0,0,112,40,12,134,2,0,0,561
5,6,16,0,0,123,34,12,116,7,0,0,814
5,5,14,0,0,113,40,10,109,5,0,0,808
5,5,14,0,0,120,32,8,103,6,0,0,766
3,2,2,,1,77,24,19,22,1,1,9,912
4,6,3,,1,105,26,16,34,1,1,12,964
6,5,5,,3,113,33,21,37,4,,20,1072
7,8,4,,3,113,37,20,61,3,,26,1224
3,7,8,,5,125,47,22,65,4,2,32,1326
3,6,10,,7,144,38,20,76,4,4,37,1398
7,8,12,,7,155,51,29,83,4,3,31,1429
1,0,1,0,0,40,13,6,12,1,0,6,230
1,2,0,0,1,43,16,9,13,2,0,7,276
9,2,5,0,,31,26,7,42,6,5,,240
0,2,1,0,0,0,0,0,0,0,0,0,1
0,3,3,0,0,0,2,2,2,0,0,2,13
0,2,2,0,2,4,3,5,2,0,0,8,21
0,3,1,0,2,8,3,8,3,0,0,11,25
0,4,1,0,5,13,3,7,4,0,1,13,28
7,3,7,,3,10,26,5,30,6,,18,152
5,4,3,,1,12,25,5,38,10,,16,141
2,3,3,,5,16,27,6,36,10,,15,132
4,4,6,,4,12,26,6,42,8,,15,158
8,4,4,,2,17,32,14,41,6,,12,159
8,1,6,,3,15,41,12,53,3,,13,177
4,2,6,,2,22,40,17,63,2,,9,185
5,4,11,,3,21,45,15,67,2,,16,183
0,0,1,0,0,4,5,2,21,0,0,1,33
0,2,3,0,1,32,4,2,3,2,0,6,73
2,4,2,0,3,37,4,2,5,1,0,7,81
2,2,2,0,5,49,6,1,4,0,0,5,93
2,2,3,0,3,65,4,0,6,1,0,9,89
6,11,27,0,0,114,37,22,120,3,0,0,638
7,11,21,0,0,103,33,24,130,2,0,0,610
8,9,23,0,0,81,26,23,141,3,0,0,642
6,9,24,0,0,89,35,27,160,2,0,0,669
9,6,36,0,0,91,35,33,185,3,1,0,701
11,5,39,0,0,83,38,30,174,4,2,0,603
18,5,57,0,0,118,54,29,203,4,2,0,675
0,0,1,0,0,1,3,3,10,1,0,1,17
6,0,8,0,0,3,10,6,54,1,0,4,87
5,1,12,0,1,4,12,9,59,2,0,5,109
0,2,10,0,0,16,17,9,45,2,0,0,269
2,3,13,0,0,23,18,9,57,2,0,0,294
2,3,14,0,0,19,23,13,58,2,0,0,285
3,3,12,0,0,17,23,11,61,0,0,0,284
3,3,11,0,0,18,20,13,62,0,0,7,259
3,3,10,0,0,15,19,15,75,0,0,7,276
3,3,13,0,1,19,26,20,99,0,0,7,289
4,3,20,0,0,23,23,17,117,0,0,5,304
3,2,16,0,1,21,23,9,88,0,1,1,227
3,1,16,0,1,18,17,7,70,0,1,5,194
7,11,16,0,0,83,12,6,27,2,0,0,387
4,5,12,0,0,81,12,10,41,4,0,0,364
1,4,14,0,0,88,12,11,59,4,0,0,355
3,8,15,0,0,97,14,12,59,3,0,0,355
5,8,10,0,3,85,13,11,70,2,0,6,353
5,6,13,0,1,66,7,8,66,3,0,6,367
3,6,11,0,2,70,9,7,64,2,0,10,382
5,3,15,0,3,67,9,15,61,2,1,10,384
5,4,17,0,3,74,15,20,67,3,2,14,401
10,5,36,0,4,113,32,19,103,2,1,17,478
2,0,0,0,0,7,3,0,1,0,0,0,13
1,0,0,0,0,1,1,0,1,0,0,1,1
3,0,0,0,0,4,3,0,0,0,0,0,1
4,0,1,0,0,9,1,0,1,0,0,2,3
4,0,1,0,0,11,1,0,1,0,0,2,5
1,0,0,0,0,8,0,1,0,0,0,1,2
1,0,0,0,1,9,0,1,0,0,0,1,3
4,2,1,,,12,7,2,3,1,,1,138
2,,1,,,6,8,4,2,,,1,136
1,2,2,0,0,29,3,6,11,1,0,0,89
1,3,4,0,0,25,9,3,14,1,0,0,76
3,0,4,0,0,26,14,3,16,0,0,0,81
2,2,8,0,0,29,12,4,15,0,0,0,77
4,2,14,0,1,29,9,6,13,0,1,3,91
4,1,13,0,2,41,9,7,23,0,0,3,98
2,2,18,0,2,25,14,2,12,0,0,0,58
2,0,1,0,2,27,1,2,2,0,0,4,78
0,0,0,0,0,10,1,0,0,0,0,0,16
15,3,8,2,14,56,17,5,25,3,1,19,116
0,5,1,0,0,13,0,5,12,0,0,3,41
4,7,0,1,0,14,11,15,5,1,1,5,98
6,26,0,0,0,11,3,13,1,0,0,2,100
14,42,1,0,2,27,12,38,4,0,0,2,195
11,32,0,2,0,19,18,19,10,2,0,9,201
13,31,2,2,0,22,19,34,9,2,0,10,191
9,3,8,0,1,38,11,3,28,0,0,3,107
9,4,11,0,1,25,5,4,24,0,0,1,102
5,3,11,0,3,18,9,2,16,0,0,1,73
2,,,1,2,3,4,1,1,,7,8,10
3,,1,,,13,11,2,9,1,,,148
3,1,2,,,15,17,3,10,2,,1,151
7,,1,,3,23,19,9,6,2,,3,150
8,1,,,3,23,19,8,7,,,5,179
